instructions_covered,branches_covered,time_taken_nanos
508,34,8850946
593,42,9010839
956,57,9163859
959,58,9301200
959,58,9389267
993,64,10938483
993,65,11123163
1054,71,11603023
1057,72,11938428
1166,77,14003723
1169,78,14386779
1279,84,17424787
1282,85,17496974
1327,92,20037008
1327,92,20230265
1442,98,22587222
1442,98,22695397
1611,103,25848403
1614,104,26295210
1881,119,26480582
1881,119,26635535
1884,120,26720657
1887,121,26913623
2319,157,28425138
2397,166,29041516
2400,167,29371662
2466,173,33180521
2469,174,33315868
2587,179,36325081
2590,180,36480015
2591,183,36791596
2594,184,37788575
2634,185,40264108
2637,186,40334842
2640,187,48480421
2640,187,102252703
2645,189,108571680
2645,189,233698830
2645,189,235526744
