instructions_covered,branches_covered,time_taken_nanos
454,26,9305217
457,27,9702540
614,33,13594657
614,33,13689297
698,41,14416215
701,42,14803529
760,50,15128665
807,53,15216171
958,59,20108845
961,60,20359580
1045,66,20922106
1048,67,21260117
1144,73,22185000
1147,74,22440544
1208,80,24375622
1211,81,24455333
1701,107,25543816
1795,117,29031677
1798,118,29120536
1961,125,34748193
1964,126,37001444
2083,134,39311693
2086,135,39533082
2130,141,40714221
2130,141,40897879
2188,146,42056545
2191,147,42132970
2283,155,46431107
2283,155,46507081
2347,162,46968205
2350,163,47047515
2491,170,49780936
2494,171,49918427
2653,178,55040145
2656,179,55925613
2800,185,57414235
2803,186,58327566
2954,192,60609261
2957,193,60764926
3048,201,61838300
3048,201,61979468
3139,209,63026072
3139,209,63103087
3517,215,64422378
3520,216,64909391
3724,230,69477109
3727,231,69563463
3827,241,70168690
3827,241,70252499
3939,251,72266256
3939,251,72354744
4022,260,75002983
4025,261,75350271
4154,268,77913019
