instructions_covered,branches_covered,time_taken_nanos
405,30,8935777
434,37,9174360
434,37,9252347
488,42,12051112
491,43,12313670
510,46,13124577
569,52,14574636
569,52,15712382
721,68,16581389
721,68,16773674
724,69,16904161
768,76,20158109
768,76,20231528
855,84,20995666
855,84,21099062
915,89,24689287
918,90,24947888
946,93,25207840
956,97,25354749
1091,106,27396228
1091,107,27836052
1211,112,29133141
1214,113,29290469
1334,119,30671947
1543,127,30880332
1546,128,31195389
1610,139,32019461
1648,141,34353145
1713,145,35387345
1769,149,35814154
1772,150,35983465
1772,151,38238579
1776,152,41309469
1776,153,42180771
1954,164,54021054
1957,165,129772886
