instructions_covered,branches_covered,time_taken_nanos
181,12,9202302
265,18,9418001
268,19,9704494
413,25,12272191
416,26,12940959
599,36,16333369
599,36,16420003
661,41,19422965
664,42,19957188
801,48,22909874
804,49,23036555
864,54,24918492
867,55,25063036
1122,65,26418645
1164,68,26595951
1167,69,26948319
1227,75,27760358
1294,81,27927275
1297,82,28770803
1337,87,30498938
1340,88,30593067
1444,95,33068769
1507,100,33225527
1510,101,33563407
1762,110,36363474
1762,110,36470838
1765,111,36600995
1988,127,38323500
1988,127,38434380
1991,128,38615904
2016,129,39504648
2019,130,42524743
2019,130,74891662
2019,130,76122886
2022,131,80028909
2025,132,91266570
2026,133,95066042
2026,133,99902058
2026,133,100807564
2026,133,101621637
2026,133,241940743
2026,133,246582711
2026,133,247177278
2026,133,249500873
2026,133,356427345
2026,133,387931269
2026,133,388096983
2026,133,389580354
2026,133,393510714
2026,133,537628199
2026,133,538137194
2026,133,540741961
2026,133,726647042
2026,133,728237898
2026,133,730285078
2026,133,741488814
2026,133,908647232
2026,133,910335532
2026,133,1079345880
2026,133,1080135346
2026,133,1080419595
2026,133,1083794552
2026,133,1090808847
2026,133,1097291645
2026,133,1099850305
2057,137,1115653629
2057,137,1119020621
2057,137,1297804344
2057,137,1306287233
2057,137,1309729648
2057,137,1318724757
2057,137,1319464660
2057,137,1329394992
2057,137,1335598300
2057,137,1515388691
2057,137,1554920892
2057,137,1557203909
2057,137,1578159780
2057,137,1580540772
2057,137,1596834186
2057,137,1773635571
2057,137,1780861478
2057,137,1800243735
2057,137,1811869271
2057,137,1840192195
2057,137,1864375373
2057,137,2018301810
2057,137,2021968079
2057,137,2057542418
2057,137,2073158377
2057,137,2076487077
2057,137,2098483920
2057,137,2100592517
2057,137,2136230065
2057,137,2294708040
2057,137,2322728812
2057,137,2341578690
2057,137,2416163602
2057,137,2416855784
2057,137,2417647594
2060,138,2457035071
