instructions_covered,branches_covered,time_taken_nanos
451,28,8077440
451,28,8160086
630,38,12140952
630,38,12223388
706,41,12315853
709,42,12854584
896,50,15095672
899,51,15195652
902,52,15338392
1186,60,18620443
1189,61,18919530
1250,67,19162972
1253,68,19262540
1331,75,19726049
1334,76,19805770
1392,84,20959236
1395,85,21145950
1398,86,21305042
1521,92,23986805
1521,92,24069271
1699,98,28494920
1702,99,28622772
1786,104,33272506
1789,105,33489337
2036,116,34156912
2071,119,34256681
2075,120,34369836
2075,120,34510622
2121,123,34876265
2144,129,35311080
2340,136,38871498
2343,137,38954475
2343,138,42803531
2343,138,42900204
2343,138,2796094709
