instructions_covered,branches_covered,time_taken_nanos
418,29,9027481
418,29,9129704
479,35,13713353
482,36,14074457
639,45,16348317
642,46,16548286
645,47,16804922
692,55,17816099
695,56,17896992
1034,73,19706703
1034,73,19947018
1037,74,20537117
1081,81,23343125
1081,81,23413960
1120,86,23985463
1123,87,24186203
1271,100,24622681
1274,101,24758779
1274,101,24893764
1552,113,29509834
1552,113,29623730
1555,114,30118388
1626,122,31446104
1626,122,31525976
1665,127,34655718
1668,128,34781426
1734,134,36145952
1734,134,36232547
1737,135,37274221
1737,135,53369759
1737,135,53652885
1738,136,342010619
