instructions_covered,branches_covered,time_taken_nanos
557,40,9264972
557,40,9418443
560,41,9714704
563,42,11464320
604,50,13876974
605,51,13961404
605,51,14058468
972,77,17144517
974,78,17359264
974,78,17807413
977,79,18130035
1079,95,19179534
1082,96,19565185
1151,103,21830539
1154,104,22203145
1195,109,23331614
1198,110,23656329
1368,124,25480827
1371,125,25726473
1374,126,26452960
1422,134,27845279
1425,135,27934348
1523,140,30197558
1526,141,31294988
1598,149,31730263
1598,149,31833849
1598,150,35242410
1599,151,91228959
1599,151,103663759
