instructions_covered,branches_covered,time_taken_nanos
396,24,8113859
396,24,8202888
399,25,8284272
581,35,8437553
611,37,8568491
951,51,8694690
954,52,9031509
1025,58,11465853
1028,59,11606980
1089,64,13407854
1092,65,13521189
1132,71,14056734
1132,71,14132918
1370,80,15375233
1412,83,15491012
1415,84,15723132
1464,91,19043907
1464,91,19145690
1528,97,21031284
1531,98,21170918
1570,103,24080704
1573,104,24164773
1633,109,25950067
1636,110,26034908
1965,130,26666806
1965,130,26797523
1968,131,26887624
1971,132,27050533
2037,138,29215967
2040,139,29306118
2266,147,30136933
2269,148,30328135
2329,154,33141187
2332,155,33321078
2428,161,34738144
2431,162,34981735
2431,163,38363205
2431,163,120699108
2431,163,224978473
2432,164,766600424
