instructions_covered,branches_covered,time_taken_nanos
549,29,8850025
552,30,9079230
709,39,10198391
709,40,10555277
814,47,10899790
815,48,10981044
943,54,13578357
944,55,13887734
1017,61,16848436
1018,62,17304841
1062,69,20346646
1065,70,20505878
1138,75,22873595
1141,76,23090316
1178,80,23847551
1181,81,24092706
1514,98,28301614
1514,98,28444996
1517,99,29192342
1625,106,33159652
1628,107,33608403
1672,113,34741460
1672,113,34817024
1712,119,36303451
1712,119,36374406
1756,126,39768238
1756,126,39901551
1818,132,40313712
1821,133,40389426
1920,141,43642281
1923,142,44214726
1984,147,47601456
1987,148,48058462
2272,161,48530437
2275,162,48658399
2275,162,48769199
2434,171,53659218
2434,171,53754459
2496,176,58696125
2499,177,58797467
2503,178,61956956
2503,178,102619319
2503,178,162687885
2504,179,1364466966
