instructions_covered,branches_covered,time_taken_nanos
296,15,9369159
299,16,9527008
452,25,11936596
672,36,12047025
672,36,12123069
675,37,12552503
756,43,15088229
759,44,15333875
843,53,20396872
843,53,20693304
846,54,20868345
1127,66,24766294
1127,66,24854190
1130,67,25525593
1201,77,28916901
1230,79,29000049
1368,86,29104647
1368,86,29192884
1594,94,31309346
1594,94,31445293
1597,95,32359055
1667,102,36176410
1670,103,36526424
1674,104,39906260
1675,105,88889656
1675,105,119774646
1675,105,204973626
