instructions_covered,branches_covered,time_taken_nanos
431,27,9101301
431,28,9468667
521,33,13141950
523,34,13451957
645,47,16945960
645,47,17032604
672,49,17187047
714,56,19642851
714,56,19745045
845,63,20212641
845,63,20299536
893,71,22403023
896,72,22531146
969,79,24645644
972,80,24748599
1059,89,26926036
1059,89,27041886
1193,97,27146134
1231,100,27343017
1343,106,29695646
1343,106,29807558
1500,117,32189954
1500,117,32279223
1586,124,32546460
1592,126,32950235
1767,132,35618182
1770,133,35814935
1831,138,39644964
1834,139,39898866
2042,147,41729456
2128,154,41881153
2131,155,42062647
2160,157,42824541
2162,158,45081649
