instructions_covered,branches_covered,time_taken_nanos
537,36,8939053
537,36,9038812
542,38,9279489
545,39,9604174
613,45,13281454
616,46,13693094
705,52,16124593
735,54,16258547
738,55,16404934
1074,69,16570248
1119,75,17562879
1122,76,17825527
1182,81,18053199
1185,82,18516347
1552,116,21532053
1555,117,21793749
1556,118,21918425
1580,123,22026059
1580,123,22571192
1580,123,23791555
1650,129,26797253
1653,130,26947638
1693,136,29462785
1696,137,29560170
1773,143,31887932
1776,144,32017317
1806,146,32242354
1967,154,32475936
2052,166,36047025
2055,167,36504913
2081,172,40324733
2081,172,41562930
2173,185,42694695
2173,185,43095826
2186,187,78599741
2199,189,120066930
2199,189,126459717
2199,189,128678924
2199,189,129880571
2202,190,144042354
2202,190,144560015
2205,191,196256102
2205,191,241129968
2205,191,264954396
2205,191,267150899
2205,191,284668603
2205,191,315614008
2205,191,429571458
2205,191,4104520656
2205,191,4616427307
2205,191,9740391604
