instructions_covered,branches_covered,time_taken_nanos
317,20,8721050
320,21,9259972
381,26,10918074
384,27,11203235
855,51,12415753
855,51,12503269
858,52,12658073
861,53,13461966
916,62,15908824
916,62,15975170
1016,72,17514057
1019,73,17628474
1019,73,17801442
1057,78,20406109
1060,79,20476943
1372,95,22580530
1372,95,22747797
1375,96,22836435
1417,102,22992631
1420,103,23149499
1460,108,25889622
1463,109,26047982
1525,116,27524752
1528,117,27596888
1579,124,28467448
1582,125,28549213
1984,146,30285034
1987,147,30422444
1987,147,30509419
1990,148,30690983
2201,159,31039083
2254,164,31521447
2257,165,31700106
2364,169,34265007
2364,169,34372211
2387,170,34575165
2387,170,34899841
2422,173,35380552
2427,174,36035343
2430,175,36360018
2688,186,41686775
2691,187,42272435
2764,194,45441452
2767,195,45696185
2776,197,48752177
2779,198,48953589
2779,198,81208336
2779,198,82388833
2814,201,121475300
2815,202,2744717629
