instructions_covered,branches_covered,time_taken_nanos
376,23,8772398
376,23,8862398
381,25,9359270
384,26,9522179
507,35,12344689
510,36,12509471
848,50,12773972
848,50,12987948
894,57,15524917
894,57,15612503
954,63,18629932
957,64,18833127
1001,71,21700743
1004,72,21858041
1108,80,24298396
1269,88,24417081
1269,88,24554542
1272,89,24831156
1705,125,28253223
1708,126,28773499
1787,135,33537168
1790,136,33655843
1852,142,34481007
1855,143,35378538
1861,146,35771754
1861,146,106794904
1861,146,114628853
1864,147,654866484
1864,147,797276195
