instructions_covered,branches_covered,time_taken_nanos
444,28,8606653
444,29,9093606
530,37,12450750
531,38,12542634
902,54,12690845
905,55,12879853
947,62,16579065
950,63,16739719
1011,68,18692050
1328,84,18971680
1331,85,19119470
1331,85,19203710
1372,91,22360844
1375,92,22440645
1413,97,25504032
1416,98,25593511
1506,108,28194201
1701,118,28307155
1704,119,28398949
1704,119,28614277
1959,130,30134048
1962,131,30623235
2028,137,32981645
2031,138,33228753
2031,139,34087872
2034,140,55047600
2034,140,56446461
2034,140,57751655
2035,141,342290945
