instructions_covered,branches_covered,time_taken_nanos
404,27,9150164
480,34,9456424
844,49,9595618
844,49,9683515
847,50,9936454
965,59,14152826
965,59,14249179
1244,71,17365015
1244,71,17455817
1247,72,17831118
1247,72,19873289
1289,78,20282755
1292,79,20361154
1363,86,21093772
1366,87,21850357
1431,92,22575761
1434,93,22710126
1474,99,26290583
1474,99,26376466
1696,107,28348473
1697,108,28448844
1700,109,28647560
1759,114,32119832
1762,115,32223268
1824,121,34059228
1827,122,34564556
1828,123,35305300
1831,124,36477772
1831,124,52475776
