instructions_covered,branches_covered,time_taken_nanos
233,14,8684251
311,22,8941098
613,37,9073288
613,37,9153741
616,39,9408824
616,39,9556133
650,42,10200264
701,51,13363490
701,51,13435396
774,59,16597560
1059,74,16783222
1062,75,16870718
1062,75,16964636
1062,75,17303378
1328,94,20878304
1331,95,21038558
1331,96,21250189
1396,102,22251928
1396,102,22326800
1471,110,23697959
1532,115,23792808
1683,123,24005672
1856,128,24257229
1859,129,24361466
1921,136,28202196
1973,139,28313888
1973,139,28394921
2242,150,31230075
2303,155,31659269
2306,156,31763577
2394,164,32416805
2397,165,32634437
2401,166,33321349
2404,167,35177137
2568,176,38523780
2568,176,41665355
2568,176,50109611
2571,177,67766338
2600,179,69091690
2724,187,71880707
2724,187,72566156
2724,187,122124280
2724,187,154133452
2724,187,1214131074
2724,187,1738793917
