instructions_covered,branches_covered,time_taken_nanos
321,21,8965414
321,21,9047519
326,23,9443710
329,24,9567295
422,31,12887698
425,32,13000222
790,47,13135738
793,48,13337030
836,54,14207079
839,55,14291379
899,61,16588543
902,62,16864336
976,69,18769407
979,70,18877111
1019,77,20760250
1022,78,20847426
1099,82,21513007
1180,89,21671347
1180,89,21769914
1368,98,21870996
1371,99,22023886
1371,99,25211888
1802,135,26562398
1805,136,27761661
1882,145,29685909
1934,147,29974395
1937,148,30079304
2191,159,30976094
2259,165,33062519
2297,169,33311030
2300,170,33595469
2300,171,33735625
2303,172,34492028
2309,175,37133104
2309,175,37238484
2312,176,39079444
2352,177,56412648
2368,179,57808083
2371,180,87423638
2401,182,177763742
2404,183,182236660
2521,194,239892635
2524,195,253833389
2524,195,357784934
2531,196,836419472
