instructions_covered,branches_covered,time_taken_nanos
441,32,8925148
442,33,9412632
573,44,12580166
573,44,12669064
685,53,13269743
688,54,13414828
995,65,15064174
998,66,15194561
1001,68,15331721
1117,80,16289577
1120,81,16523580
1299,93,16818088
1302,94,16957312
1302,94,18454991
1500,103,20253390
1500,103,20372746
1503,104,20461124
1581,111,21994450
1684,119,22418263
1687,120,22558118
1824,128,24149274
1827,129,24640776
2145,140,26771615
2145,140,26916369
2180,143,27024574
2213,145,27265992
2381,153,30588810
2384,154,30721602
2384,154,30999609
2387,155,32430381
2508,164,34202800
2508,164,34329160
2512,166,34712737
2512,166,34831492
2515,167,69607819
2518,168,123682374
2520,169,334706310
