instructions_covered,branches_covered,time_taken_nanos
1099,71,9881259
1099,71,10687307
1158,76,12753133
1225,82,13024888
1225,83,13444202
1284,91,15766865
1287,92,16195578
1343,97,18479467
1344,98,18803821
1438,103,22023043
1663,114,22816577
1714,119,25848434
1717,120,26746136
1765,125,28303908
1768,126,28646778
1804,132,29223642
1805,133,29447937
1837,138,33049904
1837,139,33158199
1885,143,33812670
1940,148,35173519
1942,149,35410539
2014,156,35588726
2017,157,35714735
2100,163,39209349
2103,164,39347821
2140,169,42907208
2143,170,42998060
2218,177,44079300
2221,178,45163014
2300,185,47241203
2300,185,47383513
2388,193,49825582
2388,193,50038255
2448,198,54025943
2451,199,54228497
2510,204,55845432
2513,205,56284384
2660,215,58123820
2660,215,58806084
2743,223,60770086
2870,230,61265836
2961,233,61440908
2961,233,61646818
3053,240,63671466
3056,241,63800811
3187,246,66550984
3271,254,67876947
3274,255,68000902
3377,262,71856911
3379,263,72615529
3405,270,78279515
3408,271,162147292
3411,272,186322745
