instructions_covered,branches_covered,time_taken_nanos
415,30,8906813
490,38,9231488
490,38,9321549
801,55,13658179
801,55,13835365
804,56,13936616
881,63,14488242
884,64,14669155
958,71,17136411
961,72,17221954
1024,77,19808777
1027,78,19953030
1090,83,21042616
1093,84,21385886
1140,92,22652757
1140,92,22736987
1384,101,23074868
1387,102,23633326
1453,108,29084649
1456,109,29649149
1514,114,33469851
1517,115,33674779
1517,116,36331966
1518,117,37731368
1518,117,46709005
1518,117,48011243
1519,118,98668832
