instructions_covered,branches_covered,time_taken_nanos
1195,60,9902991
1195,61,10196487
1237,66,11115469
1240,67,11219576
1302,74,11357698
1305,75,11477355
1356,81,13639222
1356,81,13714305
1429,90,14981216
1432,91,15076156
1514,98,17097507
1517,99,17273741
1567,105,20989805
1567,105,21056011
1609,111,23173915
1609,112,23451742
1651,117,26202666
1652,118,26452058
1712,123,27961139
1713,124,28236841
1797,133,32109722
1797,134,32214822
1836,139,33002354
1839,140,33078068
1940,151,34845788
1943,152,35064373
2001,157,35353300
2004,158,35502653
2083,167,35696471
2086,168,35872484
2147,173,39605320
2150,174,39748161
2253,182,40851081
2256,183,41079334
2298,190,42820514
2301,191,42900876
2378,200,44567666
2381,201,45317647
2448,207,46342259
2451,208,46461195
2539,216,47610433
2542,217,47701736
2618,225,48839082
2621,226,49152316
2710,234,53201841
2713,235,53593203
2802,245,58306978
2805,246,58472822
2896,253,66713202
2899,254,67214141
2967,259,69080659
2970,260,69589523
3030,265,76584933
3147,271,77317552
3147,271,77514996
3231,280,83519808
3231,280,83641108
3300,288,89576488
3386,299,95863184
3400,302,96840607
3403,303,206823835
