instructions_covered,branches_covered,time_taken_nanos
509,34,8659383
593,42,8798377
956,57,8932551
959,58,9022612
959,58,9099828
993,64,10737823
994,65,10937882
1054,71,11464811
1057,72,11832598
1167,77,14076812
1170,78,14510544
1279,84,17962948
1282,85,18044282
1326,92,20778815
1326,92,21101887
1441,98,23642814
1441,98,23757661
1610,103,27169278
1613,104,27680176
1722,112,27840260
1883,120,27969054
1883,120,28123547
1886,121,28380614
2318,157,30036342
2321,158,30438775
2393,167,30691213
2396,168,30995360
2460,174,34343546
2463,175,34527124
2582,180,37547269
2585,181,38344180
2585,184,41063534
2625,185,44071045
2628,186,44228784
2628,186,96072631
2633,188,119264400
2636,189,138729996
2636,189,422242892
2636,189,526443389
