instructions_covered,branches_covered,time_taken_nanos
215,21,8794931
305,28,8943352
308,29,9075292
356,37,10313209
359,38,10487429
399,45,12713488
399,45,12787949
441,52,15455466
444,53,15594319
562,63,16948746
562,63,17052843
601,69,17228697
604,70,17300783
651,79,19361980
651,79,19461419
726,88,22345275
729,89,23219963
791,95,23378964
832,101,23506466
835,102,23614531
902,109,26932941
986,119,27675157
989,120,28194712
1053,126,31580880
1056,127,31695949
1123,135,34964774
1123,135,35061127
1123,136,35229075
1510,170,36217870
1513,171,37221021
1516,172,66341177
1528,174,90274071
1528,174,95236467
1528,175,95938748
1634,182,113406968
1684,184,113628007
1687,185,114290543
1687,185,176572175
1687,185,177077262
1704,188,180740926
1704,188,186138467
1704,188,190312699
1704,188,274433877
1704,188,391458592
1704,188,488479441
1704,188,600200793
1704,188,719888045
1704,188,974134969
1704,188,1561449175
1704,188,1923488414
1704,188,1931332632
1704,188,2160397044
1704,188,2416809422
1704,188,2798741406
1704,188,2938535059
1704,188,3192545023
1704,188,3485971920
1704,188,3535572596
1704,188,3538650931
1704,188,3760467745
1704,188,4028232741
1704,188,4345114967
1704,188,4453359209
1704,188,4462374046
1704,188,4607000118
1704,188,4608409139
1704,188,4745497373
1704,188,4763846133
1704,188,5059132134
1704,188,5277848521
1704,188,5411563292
1704,188,5580979522
1704,188,5925286500
1704,188,6295928896
1704,188,6326531863
1704,188,6464513490
1704,188,6597402897
1704,188,6801302949
1704,188,7122443617
1704,188,7960362965
1704,188,8153284970
1704,188,8153524424
1704,188,8326173954
1704,188,8497495004
1704,188,8947488136
1704,188,9097771682
1704,188,9102542494
1704,188,9111505403
1704,188,9524539972
1704,188,9611067250
1704,188,9624460396
1704,188,9875418947
