instructions_covered,branches_covered,time_taken_nanos
153,13,8816281
156,14,8892425
246,23,11630274
249,24,11709264
252,25,11949299
338,34,12946179
358,36,13035187
358,36,13161797
361,37,13338192
434,45,17044216
437,46,17219809
493,55,20967312
496,56,21040191
549,65,22117392
549,65,22220718
644,74,22835784
647,75,22920074
650,76,23300385
694,82,24377997
694,82,24496682
757,87,25556331
760,88,25742293
804,94,29077084
804,94,29173978
877,101,31831104
880,102,31934230
954,107,33538060
957,108,33627359
980,111,36206688
980,112,36315474
982,113,330774428
