instructions_covered,branches_covered,time_taken_nanos
339,29,9773114
339,29,9863255
522,42,13916668
543,44,13999695
543,44,14587379
543,44,16286820
677,56,16496528
677,56,16579786
680,57,16902137
791,62,17433083
854,70,19327314
857,71,19434857
928,76,20838448
931,77,21098631
1046,83,24731317
1049,84,25381579
1101,92,26768107
1104,93,26941075
1242,104,28774170
1245,105,28972105
1361,116,32778540
1364,117,32876786
1475,122,33057899
1478,123,34028399
1646,128,34644066
1646,128,34764795
1766,133,35258851
1769,134,35550855
1840,143,35951484
1843,144,36185448
1966,149,37123406
1969,150,37331731
1970,151,40757845
1973,152,57735565
2234,159,59488638
