instructions_covered,branches_covered,time_taken_nanos
376,23,9474569
376,23,9643058
472,31,9868936
472,31,9959818
837,46,10097900
840,47,10285335
884,53,12837583
887,54,13072609
948,60,14323770
951,61,14710714
1022,66,16517598
1025,67,16637846
1144,72,21170939
1186,79,21381307
1189,80,21488270
1265,86,24300701
1268,87,24441268
1456,96,24551236
1459,97,24714185
1893,133,28750065
1896,134,29395889
1973,143,31173669
1976,144,31321710
2040,150,33760482
2043,151,33910917
2049,154,34553746
2052,155,36411928
2057,157,38194917
2060,158,50768881
2060,158,70885421
2063,159,116016314
2063,159,124188494
2063,159,151417787
