instructions_covered,branches_covered,time_taken_nanos
373,31,9344893
463,39,9659860
463,39,9760731
518,42,10060269
587,46,10288021
636,48,11678085
836,61,12883460
836,61,13212915
839,62,14262504
900,68,14587520
903,69,14869094
977,78,16263757
980,79,16393073
980,79,16698131
1057,85,20999023
1060,86,21105024
1294,95,21365859
1297,96,21654957
1448,111,24314067
1498,113,24501162
1501,114,24638091
1501,114,24872285
1784,128,29354020
1854,140,29497212
1889,143,29613873
1892,144,29697601
1899,145,29875849
1968,149,34673834
1971,150,35197887
2029,154,37496474
2065,158,37752309
2065,159,37893747
2068,160,39701533
2068,160,43854044
2071,161,104373125
2071,161,135971438
2074,162,136153043
