instructions_covered,branches_covered,time_taken_nanos
514,34,8234879
554,35,8353103
557,36,8456459
638,42,8596053
641,43,9043642
823,54,10940106
826,55,11077737
826,57,11213294
916,64,13862215
919,65,14111828
999,71,16521846
1002,72,16734429
1085,79,20784175
1168,85,21183723
1171,86,21293320
1257,93,24300440
1260,94,24423263
1348,102,25758634
1351,103,26112324
1437,110,27915272
1440,111,28214118
1562,120,29542636
1649,127,29680337
1652,128,29825853
2001,140,30931950
2001,140,31037279
2034,142,31320556
2037,143,31713171
2129,149,32613497
2132,150,32865014
2217,157,33899294
2220,158,34579273
2243,161,37458340
2248,163,41395343
2251,164,64443349
2254,165,82562193
2254,165,139321187
