instructions_covered,branches_covered,time_taken_nanos
380,28,8007187
520,36,8113118
520,36,8199722
521,37,8661578
570,42,10393160
570,43,10648293
655,48,13523744
658,49,13972244
726,54,14567582
729,55,14640971
829,62,15255326
873,67,15360114
876,68,15526159
952,74,16864025
955,75,16985034
1018,80,20692782
1021,81,20941624
1089,88,22000160
1092,89,22491001
1133,94,24153943
1136,95,24437801
1179,100,27156233
1182,101,27249610
1301,106,28423055
1304,107,28629125
1388,113,30932661
1417,116,31020288
1420,117,31171684
1463,121,31263739
1582,126,33448470
1585,127,34029271
1629,133,37535056
1632,134,37610058
1696,140,38072976
1696,140,38160832
1769,145,39442191
1772,146,39572999
1773,147,42147859
1802,150,116556428
1805,151,116648673
1933,161,116892635
1936,162,117011781
1936,162,117328491
1952,166,240124807
