instructions_covered,branches_covered,time_taken_nanos
321,21,8372860
321,21,8467329
324,22,8756087
329,24,9209035
452,33,12493511
452,33,12597107
455,34,12700213
793,48,12880274
835,54,16460600
838,55,16793571
906,61,19049157
906,61,19144147
969,67,21895322
972,68,22207994
1012,75,24521179
1015,76,24646316
1122,84,26665533
1125,85,26794488
1125,85,26885981
1286,93,27202812
1718,129,31936314
1796,139,32216124
1796,139,32307597
1874,147,33981500
1877,148,34549226
1915,152,35056057
1921,155,35700228
1924,156,36094305
1964,157,57542440
2267,169,61801683
2283,171,62334793
2286,172,62787391
2316,174,63958862
2393,178,68334906
2393,178,70488308
2393,179,89823717
2396,180,115843667
2399,181,120113280
2402,182,126894503
2402,182,136903585
2519,193,164218890
2522,194,181003936
2522,194,209235137
2525,195,217281729
2525,195,1075553869
