instructions_covered,branches_covered,time_taken_nanos
498,35,9830243
499,36,10014793
817,55,12603590
817,55,12725300
818,56,13298858
819,57,13425117
897,65,16099957
897,66,16643467
897,66,16745370
1187,80,19059256
1187,80,19180526
1190,81,19499010
1304,90,22528722
1307,91,22637158
1310,92,22820996
1310,92,22929402
1537,109,25375879
1537,109,25530873
1540,110,25769124
1770,119,27222169
1773,120,27418401
1832,126,29724762
1835,127,30113439
1836,128,32375486
1836,128,99563369
1836,128,100069929
1837,129,110101243
