instructions_covered,branches_covered,time_taken_nanos
263,13,8285735
266,14,8411243
417,27,8643493
420,28,8805140
494,34,12390916
497,35,12786125
622,45,16615684
625,46,16832385
688,51,20103194
691,52,20242569
766,58,21394222
766,58,21520451
1063,71,22269991
1063,71,22361745
1066,72,23188693
1126,79,25344329
1129,80,25424861
1186,88,28387507
1189,89,28539515
1262,96,29050784
1265,97,29312120
1345,104,32395233
1345,104,32473652
1419,109,34047104
1422,110,34205815
1484,117,34385426
1487,118,34526794
1744,128,34986735
1744,128,35081625
1817,135,36235893
1820,136,36390216
1883,141,38527186
1886,142,38973091
1890,143,39414228
1890,143,61064775
1893,144,86662736
1894,145,90701821
1894,145,99229415
