instructions_covered,branches_covered,time_taken_nanos
712,44,9349612
714,45,9513362
773,52,12068255
773,52,12175518
803,54,12360189
1136,68,12717586
1188,74,17093891
1188,75,18223773
1454,90,19828524
1454,90,19981184
1456,91,20419935
1456,91,21243937
1491,97,22724944
1493,98,22806058
1568,106,23866067
1755,115,23982448
1758,116,24179351
1758,116,24320429
1989,126,27127279
1992,127,27229112
1992,127,27493182
2061,134,29437868
2064,135,29519022
2068,136,31552316
2068,136,54462803
2069,137,392293788
