instructions_covered,branches_covered,time_taken_nanos
393,25,8669443
393,25,8781174
396,26,8912143
544,34,9138963
547,35,9231688
838,48,9409034
841,49,9803723
922,55,12350941
925,56,12476328
1003,62,13348151
1006,63,13530316
1203,78,17205592
1206,79,17294080
1206,79,17374302
1437,88,18119505
1437,88,18205277
1480,95,20441215
1480,95,20510306
1522,100,21094934
1525,101,21390234
1606,109,22993583
1609,110,23352323
1677,116,25738125
1881,137,25894372
1881,137,25969153
2294,156,26106704
2297,157,26499949
2298,158,26915948
2424,166,30352572
2427,167,30791394
2524,172,33675250
2649,179,33827478
2649,179,33923470
2875,187,34928115
2878,188,35289800
2937,194,35711590
2940,195,35846465
2941,196,39233966
2992,200,78023280
2995,201,116294762
2995,201,133526214
2996,202,790941199
2999,203,3348765829
