instructions_covered,branches_covered,time_taken_nanos
633,31,8256801
636,32,8357381
639,33,8452882
639,33,8642762
639,34,8800080
642,35,9597742
702,38,11501391
807,45,12706495
894,55,12872429
894,55,12970295
975,62,16019705
1065,71,16484346
1065,72,18634070
1266,89,19654014
1345,96,19802996
1348,97,20280942
1414,103,22130117
1414,103,22241768
1493,109,22746305
1496,110,23256983
1658,121,26513676
1701,124,26792474
1704,125,26889678
1781,133,29793262
1784,134,30469173
1960,146,31037891
1963,147,31254191
2060,152,33545013
2063,153,33664880
2148,161,37954882
2151,162,38067014
2246,172,41419599
2249,173,41655045
2285,174,43731571
2288,175,73414825
2461,185,119778927
2856,204,141756494
2856,205,146117791
2856,205,147734515
3089,221,148955139
3166,226,155805233
3302,236,159398644
3302,236,163631327
3302,236,167591093
3302,236,170724041
3302,236,177374046
3302,237,179674536
3302,237,187040539
3302,237,188347536
3302,237,193345159
3302,237,196506882
3302,237,206317698
3302,237,227532409
3332,240,322988323
3332,240,413614942
3332,240,415856651
3332,240,444978029
3332,240,448839528
3332,240,477637464
3332,240,495878730
3332,240,522304358
3332,240,535370635
3332,240,551184500
3332,240,554820211
3332,240,557326922
3332,240,572800462
3332,240,573353069
3332,240,595203096
3332,240,613706278
3332,240,628231660
3332,240,636734336
3332,240,640562833
3332,240,656092880
3332,240,667704670
3332,240,675682922
3332,240,677134914
3332,240,679068599
3332,240,714153000
3332,240,863029280
3332,240,894842972
3332,240,935728048
3332,240,940569304
3332,240,1068485134
3332,240,1138191851
3332,240,1146912721
3332,240,1166164642
3332,240,1236240528
3332,240,1344342511
3332,240,1362628532
3332,240,1391690067
3332,240,1421358693
3332,240,1482044500
3332,240,1522096998
3332,240,1624240788
3332,240,1771037746
3332,240,1794878766
3332,240,1987559825
3332,240,2007299351
3332,240,2024041465
3332,240,2086125253
3332,240,2178816495
3332,240,2553783812
3332,240,2618787945
3332,240,2665971179
3332,240,2777959138
3332,240,2812738000
3332,240,2959389853
3332,240,3003661218
3332,240,3028560904
3332,240,3193910479
3332,240,3372369230
3332,240,3406876718
3332,240,3504105922
3332,240,3636330209
3332,240,3656303928
3332,240,3708315183
3332,240,3790808888
3332,240,3805455730
3332,240,3877661623
3332,240,3953583541
3332,240,3969904296
3332,240,4162576028
3332,240,4187819486
3332,240,4192930815
3332,240,4222878399
3332,240,4224563343
3332,240,4256700147
3332,240,4275458613
3332,240,4294961259
3332,240,4302867585
3332,240,4314407339
3332,240,4323745008
3332,240,4511748752
3332,240,4537256100
3332,240,4590674363
3332,240,4671509382
3332,240,4684006370
3332,240,4809799907
3332,240,4964419863
3332,240,5093956335
3332,240,5268143841
3332,240,5324193902
3332,240,5432905270
3332,240,5499632780
3332,240,5510414877
3332,240,5523843600
3332,240,5685845388
3332,240,5708484801
3332,240,5786838858
3332,240,6021754592
3332,240,6147498555
3332,240,6833390248
3332,240,6835876059
3332,240,6850726077
3332,240,6867778429
3332,240,6881655132
3332,240,6902774994
3332,240,6910566823
3332,240,6976550623
3332,240,7102626264
3332,240,7120594913
3332,240,7189865192
3332,240,7407785503
3332,240,7473105434
3332,240,7633354871
3332,240,7742732232
3332,240,8040575362
3332,240,8131747526
3332,240,8329623943
3332,240,8374264197
3332,240,8381975794
3332,240,8485450567
3332,240,8501405969
3332,240,8518578931
3332,240,8535468294
3332,240,8711715253
3332,240,8727172983
3332,240,8763642419
3332,240,8765793015
3332,240,8832214595
3332,240,8843752014
3332,240,8970225941
