instructions_covered,branches_covered,time_taken_nanos
353,29,8213018
353,29,8286186
433,35,11696150
436,36,11803944
544,44,14494113
547,45,14616926
620,51,17302186
623,52,17387729
664,59,17924075
664,59,18034545
887,69,18932407
887,69,19182641
888,70,19297819
921,72,21520101
990,79,24331801
993,80,25171502
1040,85,26278901
1040,85,26390503
1080,90,28240890
1083,91,28349436
1150,96,30302157
1153,97,30529999
1213,102,31751785
1216,103,31819203
1283,109,32069026
1286,110,32342615
1289,111,32748083
