instructions_covered,branches_covered,time_taken_nanos
807,55,9721306
810,56,9983162
905,70,10165979
905,70,10262612
907,71,10471548
930,72,10918014
987,78,14813548
989,79,14901595
1107,87,18810765
1109,88,19069666
1144,95,24010622
1144,95,24106914
1275,107,25611817
1435,119,25736603
1435,119,25824650
1436,120,26082238
1436,120,26632952
1511,126,28061590
1514,127,28411323
1553,135,29837636
1634,145,32974262
1812,155,33109258
1850,158,33256407
1850,158,33337250
2123,177,36309303
2123,177,36406117
2126,178,36553706
2132,180,36654417
2254,185,40931274
2257,186,41199723
2321,193,45467232
2321,193,45570487
2618,208,49198424
2621,212,49452786
2646,214,49812999
2649,215,49910634
2891,231,50145088
2891,231,50426411
3065,237,50736068
3065,237,50865674
3128,242,54898378
3131,243,55269331
3335,253,57612242
3335,253,57766174
3465,262,57986692
3469,264,58754988
3469,264,167856085
3498,266,190327148
3498,266,370139626
3498,266,483830984
3498,266,1597768773
3498,266,2145449241
3498,266,2909351791
3498,266,5372235388
