instructions_covered,branches_covered,time_taken_nanos
406,31,8618045
406,31,8702315
488,34,8880914
550,41,12227577
550,41,12311366
587,43,12528648
761,54,12951038
764,55,13096143
764,55,13206182
825,61,16018453
938,68,16178326
938,68,16269629
1208,80,18026338
1211,81,18115838
1214,82,18229203
1540,100,21592949
1543,101,21676998
1543,101,21781025
1546,102,22004729
1668,108,22320558
1671,109,22500699
1787,114,25179286
1790,115,25281150
1963,122,25588853
1973,126,26100653
1976,128,26950454
2035,133,30598047
2038,134,30963079
2038,135,33651134
2068,137,43860686
2354,147,44386503
2357,148,56505525
2395,150,87050852
